chrom,pos,PM,numMeth,numUnmeth,Count,ind
chr1,39072257,0.42,37,52,89,600103
chr1,39072316,0.7,61,26,87,600104
chr1,39072479,0.56,24,19,43,600105
chr1,39072481,0.96,47,2,49,600106
chr1,39072483,0.77,36,11,47,600107
chr1,39072487,0.68,36,17,53,600108
chr1,39072503,0.87,59,9,68,600109
chr1,39072668,0.96,75,3,78,600110
chr1,39073027,0.96,89,4,93,600111
chr1,39073063,0.9,89,10,99,600112
chr1,39073083,0.98,84,2,86,600113
chr1,39073245,0.69,58,26,84,600114
chr1,39073374,0.89,55,7,62,600115
chr1,39073384,0.71,45,18,63,600116
chr1,39073430,0.33,15,30,45,600117
chr1,39073438,0.42,19,26,45,600118
chr1,39073477,0.59,29,20,49,600119
chr1,39073485,0.87,40,6,46,600120
chr1,39073583,0.42,27,38,65,600121
chr1,39073718,0.97,86,3,89,600122
chr1,39073726,0.85,72,13,85,600123
chr1,39073872,0.63,29,17,46,600124
chr1,39073876,0.49,28,29,57,600125
chr1,39073932,0.25,8,24,32,600126
chr1,39073991,0,0,37,37,600127
chr1,39074028,0.11,6,48,54,600128
chr1,39074059,0.29,18,44,62,600129
chr1,39074065,0.05,4,70,74,600130
chr1,39074082,0.01,1,82,83,600131
chr1,39074095,0.06,5,78,83,600132
chr1,39074102,0.05,2,42,44,600133
chr1,39074162,0.02,2,97,99,600134
chr1,39074176,0.01,1,92,93,600135
chr1,39074200,0.03,2,62,64,600136
chr1,39074275,0.52,44,41,85,600137
chr1,39074292,0.54,43,37,80,600138
chr1,39074352,0.4,35,53,88,600139
chr1,39074428,0.57,54,41,95,600140
chr1,39074532,0.91,92,9,101,600141
chr1,39074620,0.81,48,11,59,600142
chr1,39074725,0.97,73,2,75,600143
chr1,39074776,1,91,0,91,600144
chr1,39074821,0.62,55,34,89,600145
chr1,39074858,0.74,55,19,74,600146
chr1,39074895,0.94,62,4,66,600147
chr1,39074898,0.92,65,6,71,600148
chr1,39074969,0.85,76,13,89,600149
chr1,39075001,0.83,66,14,80,600150
chr1,39075009,0.93,76,6,82,600151
chr1,39075040,0.83,85,17,102,600152
chr1,39075111,0.8,78,20,98,600153
chr1,39075126,0.72,62,24,86,600154
chr1,39075178,0.7,44,19,63,600155
chr1,39075208,0.88,38,5,43,600156
chr1,39075295,0.93,63,5,68,600157
chr1,39075321,0.98,80,2,82,600158
chr1,39075329,0.99,85,1,86,600159
chr1,39075344,0.91,79,8,87,600160
chr1,39075416,0.5,48,48,96,600161
chr1,39075432,0.79,71,19,90,600162
chr1,39075434,0.8,72,18,90,600163
chr1,39075458,0.69,54,24,78,600164
chr1,39075551,0.97,74,2,76,600165
chr1,39075717,0.97,73,2,75,600166
chr1,39075961,0.85,74,13,87,600167
chr1,39075973,0.91,78,8,86,600168
chr1,39076011,0.88,44,6,50,600169
chr1,39076061,0.91,40,4,44,600170
chr1,39076097,0.92,57,5,62,600171
chr1,39076298,0.9,86,10,96,600172
chr1,39076314,0.65,55,29,84,600173
chr1,39076512,0.61,68,43,111,600174
chr1,39076638,0.76,69,22,91,600175
chr1,39076993,0.66,46,24,70,600176
chr1,39077045,0.89,66,8,74,600177
chr1,39077099,0.75,80,26,106,600178
chr1,39077133,0.85,102,18,120,600179
chr1,39077294,0.31,33,75,108,600180
chr1,39077426,0.07,7,91,98,600181
chr1,39077486,0.36,31,56,87,600182
chr1,39077492,0.3,24,56,80,600183
chr1,39077517,0.49,25,26,51,600184
chr1,39077595,0.07,7,92,99,600185
chr1,39077693,0.42,45,63,108,600186
chr1,39077789,0.85,81,14,95,600187
chr1,39078193,0.97,77,2,79,600188
chr1,39078198,0.97,75,2,77,600189
chr1,39078200,0.96,74,3,77,600190
chr1,39078206,0.96,75,3,78,600191
chr1,39078390,0.97,86,3,89,600192
chr1,39078406,0.92,84,7,91,600193
chr1,39078427,0.94,91,6,97,600194
chr1,39078466,0.96,89,4,93,600195
chr1,39078620,0.93,65,5,70,600196
chr1,39078740,0.77,70,21,91,600197
chr1,39078752,0.89,84,10,94,600198
chr1,39078776,0.88,90,12,102,600199
chr1,39078894,0.88,91,13,104,600200
chr1,39078955,0.95,100,5,105,600201
chr1,39078973,0.92,95,8,103,600202
chr1,39079055,0.74,55,19,74,600203
chr1,39079258,0.92,99,9,108,600204
chr1,39079283,0.76,81,25,106,600205
chr1,39079314,0.91,99,10,109,600206
chr1,39079363,0.77,71,21,92,600207
chr1,39079381,0.72,58,23,81,600208
chr1,39079479,0.91,48,5,53,600209
chr1,39079489,0.96,48,2,50,600210
chr1,39079653,0.91,83,8,91,600211
chr1,39079684,0.91,97,10,107,600212
chr1,39079715,0.9,110,12,122,600213
chr1,39079748,0.5,56,55,111,600214
chr1,39079750,0.51,58,55,113,600215
chr1,39079774,0.78,66,19,85,600216
chr1,39079786,0.83,65,13,78,600217
chr1,39079839,0.65,33,18,51,600218
chr1,39080132,0.13,12,77,89,600219
chr1,39080383,0.07,6,77,83,600220
chr1,39080448,0.42,41,57,98,600221
chr1,39080522,0.41,32,46,78,600222
chr1,39080676,0.2,15,61,76,600223
chr1,39080851,0.28,16,42,58,600224
chr1,39080888,0.76,50,16,66,600225
chr1,39081084,0.78,18,5,23,600226
chr1,39081158,0.96,44,2,46,600227
chr1,39081545,0.74,70,25,95,600228
chr1,39081977,0.78,56,16,72,600229
chr1,39082151,0.91,60,6,66,600230
chr1,39082244,0.96,79,3,82,600231
chr1,39082650,0.27,27,73,100,600232
chr1,39082746,0.42,45,61,106,600233
chr1,39082768,0.19,19,83,102,600234
chr1,39083383,0.84,109,21,130,600235
chr1,39083674,0.64,61,35,96,600236
chr1,39083718,0.92,97,9,106,600237
chr1,39083933,0.7,37,16,53,600238
chr1,39083991,0.74,48,17,65,600239
chr1,39084053,0.84,51,10,61,600240
chr1,39084063,0.83,49,10,59,600241
chr1,39084123,0.97,56,2,58,600242
chr1,39084153,0.83,49,10,59,600243
chr1,39084180,0.91,50,5,55,600244
chr1,39084184,0.81,39,9,48,600245
chr1,39084216,0.79,54,14,68,600246
chr1,39084249,0.76,35,11,46,600247
chr1,39084265,0.9,35,4,39,600248
chr1,39084492,0.61,67,43,110,600249
chr1,39084756,0.72,88,34,122,600250
chr1,39084799,0.8,96,24,120,600251
chr1,39085010,0.52,54,50,104,600252
chr1,39085054,0.57,51,38,89,600253
chr1,39085511,0.54,59,51,110,600254
chr1,39085584,0.89,88,11,99,600255
chr1,39085695,0.92,59,5,64,600256
chr1,39085700,0.95,53,3,56,600257
chr1,39085719,0.76,25,8,33,600258
chr1,39085758,0.9,37,4,41,600259
chr1,39085785,0.92,47,4,51,600260
chr1,39085789,0.84,41,8,49,600261
chr1,39085799,0.84,38,7,45,600262
chr1,39085860,1,28,0,28,600263
chr1,39085869,0.92,24,2,26,600264
chr1,39085883,0.95,21,1,22,600265
chr1,39085976,0.83,44,9,53,600266
chr1,39085992,0.75,46,15,61,600267
chr1,39086062,0.92,94,8,102,600268
chr1,39086075,0.91,90,9,99,600269
chr1,39086112,0.91,96,10,106,600270
chr1,39086116,0.93,100,7,107,600271
chr1,39086170,0.94,75,5,80,600272
chr1,39086210,0.77,36,11,47,600273
chr1,39086749,0.86,57,9,66,600274
chr1,39086806,0.85,57,10,67,600275
chr1,39086852,0.93,80,6,86,600276
chr1,39086938,0.91,88,9,97,600277
chr1,39087188,0.56,61,48,109,600278
chr1,39087258,0.77,75,22,97,600279
chr1,39087603,0.77,51,15,66,600280
chr1,39087824,0.87,91,14,105,600281
chr1,39087833,0.84,88,17,105,600282
chr1,39087843,0.92,90,8,98,600283
chr1,39087890,0.81,91,22,113,600284
chr1,39087901,0.96,106,4,110,600285
chr1,39087958,0.61,62,39,101,600286
chr1,39088008,0.77,70,21,91,600287
chr1,39088044,0.86,86,14,100,600288
chr1,39088251,0.94,99,6,105,600289
chr1,39088305,0.9,105,12,117,600290
chr1,39088319,0.98,117,3,120,600291
chr1,39088324,0.94,113,7,120,600292
chr1,39088446,0.94,78,5,83,600293
chr1,39088564,0.78,87,24,111,600294
chr1,39088599,0.92,107,9,116,600295
chr1,39088699,0.9,108,12,120,600296
chr1,39088754,0.92,98,9,107,600297
chr1,39088787,0.78,83,23,106,600298
chr1,39088806,0.61,59,37,96,600299
chr1,39089091,0.74,43,15,58,600300
chr1,39089106,0.83,39,8,47,600301
chr1,39089202,0.91,32,3,35,600302
chr1,39089352,0.8,60,15,75,600303
chr1,39089362,0.93,69,5,74,600304
chr1,39089384,0.88,67,9,76,600305
chr1,39089436,0.94,72,5,77,600306
chr1,39089444,0.97,71,2,73,600307
chr1,39089531,0.82,75,16,91,600308
chr1,39089913,0.52,30,28,58,600309
chr1,39090010,0.84,46,9,55,600310
chr1,39090038,0.67,40,20,60,600311
chr1,39090095,0.46,32,37,69,600312
chr1,39090107,0.42,33,46,79,600313
chr1,39090142,0.03,3,88,91,600314
chr1,39090213,0.03,3,91,94,600315
chr1,39090242,0.17,16,78,94,600316
chr1,39090424,0.77,53,16,69,600317
chr1,39090427,0.93,62,5,67,600318
chr1,39090457,0.78,58,16,74,600319
chr1,39090491,0.39,39,61,100,600320
chr1,39090619,0.93,76,6,82,600321
chr1,39090645,0.98,84,2,86,600322
chr1,39090674,0.86,86,14,100,600323
chr1,39090915,0.38,30,48,78,600324
chr1,39091171,0.78,47,13,60,600325
chr1,39091432,0.28,40,102,142,600326
chr1,39091654,0.73,65,24,89,600327
chr1,39091680,0.86,71,12,83,600328
chr1,39091796,0.78,49,14,63,600329
chr1,39091825,0.92,58,5,63,600330
chr1,39091869,0.41,30,43,73,600331
chr1,39091928,0.66,56,29,85,600332
chr1,39092087,0.45,50,62,112,600333
chr1,39092133,0.68,63,29,92,600334
chr1,39092361,0.81,61,14,75,600335
chr1,39092518,0.74,96,33,129,600336
chr1,39092745,0.79,63,17,80,600337
chr1,39092970,0.31,22,50,72,600338
chr1,39092975,0.54,37,31,68,600339
chr1,39092983,0.38,26,42,68,600340
chr1,39093017,0.93,64,5,69,600341
chr1,39093026,0.88,60,8,68,600342
chr1,39093041,0.63,45,27,72,600343
chr1,39093058,0.81,55,13,68,600344
chr1,39093061,0.88,59,8,67,600345
chr1,39093073,0.86,55,9,64,600346
chr1,39093077,0.86,55,9,64,600347
chr1,39093167,0.74,48,17,65,600348
chr1,39093205,0.32,26,56,82,600349
chr1,39093270,0.7,64,28,92,600350
chr1,39093452,0.97,64,2,66,600351
chr1,39093460,0.96,76,3,79,600352
chr1,39093484,0.88,89,12,101,600353
chr1,39093547,0.85,88,16,104,600354
chr1,39093628,0.82,46,10,56,600355
chr1,39094285,0.82,74,16,90,600356
chr1,39094337,0.84,75,14,89,600357
chr1,39094528,0.96,77,3,80,600358
chr1,39095015,0.92,55,5,60,600359
chr1,39095149,0.09,3,32,35,600360
chr1,39095411,0.59,40,28,68,600361
chr1,39095575,0.73,92,34,126,600362
chr1,39095662,0.87,72,11,83,600363
chr1,39096018,0.81,70,16,86,600364
chr1,39096089,0.82,71,16,87,600365
chr1,39096134,0.9,83,9,92,600366
chr1,39096299,0.89,87,11,98,600367
chr1,39096414,0.83,53,11,64,600368
chr1,39097440,0.77,85,26,111,600369
chr1,39097445,0.59,65,45,110,600370
chr1,39098071,0.77,27,8,35,600371
chr1,39098127,0.87,80,12,92,600372
chr1,39098393,0.73,73,27,100,600373
chr1,39098737,0.64,46,26,72,600374
chr1,39099153,0.85,66,12,78,600375
chr1,39099201,0.78,62,18,80,600376
chr1,39099238,0.92,60,5,65,600377
chr1,39099247,0.78,47,13,60,600378
chr1,39099670,0.9,111,12,123,600379
chr1,39099830,0.87,111,17,128,600380
chr1,39099899,0.69,83,37,120,600381
chr1,39100176,0.92,92,8,100,600382
chr1,39100254,0.77,60,18,78,600383
chr1,39100384,0.68,71,34,105,600384
chr1,39100550,0.8,40,10,50,600385
chr1,39100642,0.96,66,3,69,600386
chr1,39100764,0.81,30,7,37,600387
chr1,39100863,0.46,21,25,46,600388
chr1,39100964,0.94,104,7,111,600389
chr1,39101006,0.77,78,23,101,600390
chr1,39101530,0.91,68,7,75,600391
chr1,39101654,0.33,28,56,84,600392
chr1,39101774,0.51,39,38,77,600393
chr1,39101896,0.91,64,6,70,600394
chr1,39101948,0.72,46,18,64,600395
chr1,39102635,0.83,93,19,112,600396
chr1,39102766,0.81,68,16,84,600397
chr1,39102924,0.9,66,7,73,600398
chr1,39102954,0.92,72,6,78,600399
chr1,39102974,0.92,72,6,78,600400
chr1,39103027,0.98,60,1,61,600401
chr1,39103037,0.98,57,1,58,600402
chr1,39103137,0.83,48,10,58,600403
chr1,39103178,0.71,42,17,59,600404
chr1,39103331,0.77,75,22,97,600405
chr1,39103564,0.91,59,6,65,600406
chr1,39103592,0.79,49,13,62,600407
chr1,39103610,0.79,52,14,66,600408
chr1,39103618,0.83,50,10,60,600409
chr1,39103707,0.53,42,37,79,600410
chr1,39103777,0.78,73,20,93,600411
chr1,39103866,0.79,73,19,92,600412
chr1,39104274,0.34,36,71,107,600413
chr1,39104601,0.88,53,7,60,600414
chr1,39104670,0.91,49,5,54,600415
chr1,39104966,0.71,37,15,52,600416
chr1,39105077,0.56,52,41,93,600417
chr1,39105196,0.9,75,8,83,600418
chr1,39105505,0.64,30,17,47,600419
chr1,39105572,0.89,59,7,66,600420
chr1,39106076,0.5,35,35,70,600421
chr1,39106112,0.87,67,10,77,600422
chr1,39106380,0.75,91,30,121,600423
chr1,39106404,0.78,95,27,122,600424
chr1,39106442,0.51,58,55,113,600425
chr1,39107008,0.76,84,27,111,600426
chr1,39107324,0.92,95,8,103,600427
chr1,39107363,0.77,71,21,92,600428
chr1,39107456,0.87,41,6,47,600429
chr1,39107473,0.89,32,4,36,600430
chr1,39107525,0.76,16,5,21,600431
chr1,39107628,0.97,63,2,65,600432
chr1,39107645,0.94,75,5,80,600433
chr1,39107707,0.85,73,13,86,600434
chr1,39107839,0.76,41,13,54,600435
chr1,39108008,0.49,52,55,107,600436
chr1,39108996,0.98,63,1,64,600437
chr1,39109131,0.83,43,9,52,600438
chr1,39109197,0.94,50,3,53,600439
chr1,39109234,0.93,62,5,67,600440
chr1,39109381,0.93,78,6,84,600441
chr1,39109591,0.88,15,2,17,600442
chr1,39109615,0.71,12,5,17,600443
chr1,39109645,0.78,7,2,9,600444
chr1,39109653,0.67,6,3,9,600445
chr1,39109697,0.89,25,3,28,600446
chr1,39109713,0.85,35,6,41,600447
chr1,39109744,0.82,56,12,68,600448
chr1,39109755,0.89,67,8,75,600449
chr1,39109777,0.85,64,11,75,600450
chr1,39109788,0.96,79,3,82,600451
chr1,39109821,0.89,82,10,92,600452
chr1,39109831,0.98,90,2,92,600453
chr1,39109833,0.96,89,4,93,600454
chr1,39109837,0.93,85,6,91,600455
chr1,39110014,0.97,59,2,61,600456
chr1,39110030,0.98,62,1,63,600457
chr1,39110227,0.88,81,11,92,600458
chr1,39110269,0.74,65,23,88,600459
chr1,39110341,0.98,80,2,82,600460
chr1,39110355,0.96,74,3,77,600461
chr1,39110360,0.86,71,12,83,600462
chr1,39110402,0.79,75,20,95,600463
chr1,39110601,0.98,50,1,51,600464
chr1,39110618,0.72,38,15,53,600465
chr1,39110660,0.95,35,2,37,600466
chr1,39110672,0.98,40,1,41,600467
chr1,39110734,0.82,36,8,44,600468
chr1,39110766,0.94,46,3,49,600469
chr1,39111197,0.78,64,18,82,600470
chr1,39111207,0.71,57,23,80,600471
chr1,39111210,0.58,45,33,78,600472
chr1,39111284,0.69,49,22,71,600473
chr1,39111393,0.84,88,17,105,600474
chr1,39111531,0.94,100,6,106,600475
chr1,39111668,0.93,55,4,59,600476
chr1,39111866,0.89,84,10,94,600477
chr1,39111882,0.88,84,11,95,600478
chr1,39112043,0.45,50,61,111,600479
chr1,39112372,0.96,49,2,51,600480
chr1,39112434,0.91,50,5,55,600481
chr1,39112461,0.76,53,17,70,600482
chr1,39112486,0.89,56,7,63,600483
chr1,39112511,0.9,37,4,41,600484
chr1,39112528,1,30,0,30,600485
chr1,39112533,0.96,23,1,24,600486
chr1,39112560,1,10,0,10,600487
chr1,39112605,0.91,40,4,44,600488
chr1,39112615,1,46,0,46,600489
chr1,39112625,0.96,52,2,54,600490
chr1,39112627,0.98,56,1,57,600491
chr1,39112629,1,58,0,58,600492
chr1,39112652,0.96,71,3,74,600493
chr1,39112662,0.92,66,6,72,600494
chr1,39112671,0.92,60,5,65,600495
chr1,39112679,0.95,59,3,62,600496
chr1,39112691,0.98,60,1,61,600497
chr1,39112725,0.95,62,3,65,600498
chr1,39112734,0.94,62,4,66,600499
chr1,39112742,0.98,61,1,62,600500
chr1,39112750,0.98,60,1,61,600501
chr1,39112770,0.94,63,4,67,600502
chr1,39112774,0.9,62,7,69,600503
chr1,39112813,0.95,40,2,42,600504
chr1,39112821,0.94,30,2,32,600505
chr1,39112826,0.94,29,2,31,600506
chr1,39112849,0.86,18,3,21,600507
chr1,39112874,1,17,0,17,600508
chr1,39112893,0.92,12,1,13,600509
chr1,39112897,1,16,0,16,600510
chr1,39112905,0.75,12,4,16,600511
chr1,39112937,1,13,0,13,600512
chr1,39112944,0.82,9,2,11,600513
chr1,39112999,0.93,13,1,14,600514
chr1,39113009,0.94,16,1,17,600515
chr1,39113013,1,18,0,18,600516
chr1,39113039,1,28,0,28,600517
chr1,39113050,1,31,0,31,600518
chr1,39113053,0.97,31,1,32,600519
chr1,39113079,1,26,0,26,600520
chr1,39113089,0.96,23,1,24,600521
chr1,39113093,1,27,0,27,600522
chr1,39113100,0.94,30,2,32,600523
chr1,39113118,1,27,0,27,600524
chr1,39113129,0.93,25,2,27,600525
chr1,39113132,1,28,0,28,600526
chr1,39113137,0.94,30,2,32,600527
chr1,39113155,0.97,32,1,33,600528
chr1,39113169,1,41,0,41,600529
chr1,39113171,0.98,39,1,40,600530
chr1,39113177,0.98,47,1,48,600531
chr1,39113195,1,34,0,34,600532
chr1,39113205,0.91,29,3,32,600533
chr1,39113209,1,30,0,30,600534
chr1,39113214,0.94,33,2,35,600535
chr1,39113238,1,23,0,23,600536
chr1,39113242,1,24,0,24,600537
chr1,39113249,0.95,18,1,19,600538
chr1,39113254,0.85,17,3,20,600539
chr1,39113283,0.95,18,1,19,600540
chr1,39113295,0.94,17,1,18,600541
chr1,39113304,0.91,20,2,22,600542
chr1,39113330,1,25,0,25,600543
chr1,39113342,1,27,0,27,600544
chr1,39113351,0.97,31,1,32,600545
chr1,39113377,0.95,39,2,41,600546
chr1,39113389,0.98,44,1,45,600547
chr1,39113394,0.95,40,2,42,600548
chr1,39113398,0.95,38,2,40,600549
chr1,39113412,1,31,0,31,600550
chr1,39113422,0.93,27,2,29,600551
chr1,39113426,0.96,25,1,26,600552
chr1,39113459,0.86,12,2,14,600553
chr1,39113471,1,9,0,9,600554
chr1,39113746,0.93,13,1,14,600555
chr1,39113778,0.51,21,20,41,600556
chr1,39113793,0.68,34,16,50,600557
chr1,39113845,0.81,61,14,75,600558
chr1,39113855,0.8,49,12,61,600559
chr1,39113957,1,8,0,8,600560
chr1,39114109,0.78,57,16,73,600561
chr1,39114212,0.92,71,6,77,600562
chr1,39114264,0.84,52,10,62,600563
chr1,39114272,0.93,71,5,76,600564
chr1,39114366,0.81,71,17,88,600565
chr1,39114464,0.81,46,11,57,600566
chr1,39114490,0.93,43,3,46,600567
chr1,39114511,0.77,49,15,64,600568
chr1,39114893,0.79,81,21,102,600569
chr1,39114915,0.87,88,13,101,600570
chr1,39115215,0.9,43,5,48,600571
chr1,39115405,0.72,63,24,87,600572
chr1,39115908,0.55,48,40,88,600573
chr1,39115944,0.63,64,37,101,600574
chr1,39116208,0.24,19,59,78,600575
chr1,39116508,0.92,79,7,86,600576
chr1,39116511,0.88,69,9,78,600577
chr1,39116546,0.91,61,6,67,600578
chr1,39116674,0.77,37,11,48,600579
chr1,39116764,0.97,62,2,64,600580
chr1,39116766,0.96,66,3,69,600581
chr1,39116776,0.97,62,2,64,600582
chr1,39116780,0.89,62,8,70,600583
chr1,39116810,0.88,76,10,86,600584
chr1,39117003,0.92,82,7,89,600585
chr1,39117048,0.94,82,5,87,600586
chr1,39117241,0.71,44,18,62,600587
chr1,39117281,0.82,55,12,67,600588
chr1,39117288,0.92,61,5,66,600589
chr1,39117367,0.87,65,10,75,600590
chr1,39117501,0.7,62,26,88,600591
chr1,39117514,0.85,83,15,98,600592
chr1,39117541,0.93,100,7,107,600593
chr1,39117547,0.92,100,9,109,600594
chr1,39117579,0.75,89,29,118,600595
chr1,39117646,0.48,54,59,113,600596
chr1,39117697,0.37,41,69,110,600597
chr1,39117761,0.82,73,16,89,600598
chr1,39117779,0.83,60,12,72,600599
chr1,39117935,0.98,55,1,56,600600
chr1,39118331,0.72,53,21,74,600601
chr1,39118582,0.68,62,29,91,600602
chr1,39118723,0.75,44,15,59,600603
chr1,39118759,0.94,72,5,77,600604
chr1,39118778,0.85,78,14,92,600605
chr1,39118800,0.91,92,9,101,600606
chr1,39118815,0.73,85,32,117,600607
chr1,39118976,0.9,81,9,90,600608
chr1,39119343,0.88,64,9,73,600609
chr1,39119379,0.71,55,22,77,600610
chr1,39119506,0.89,79,10,89,600611
chr1,39119537,0.91,77,8,85,600612
chr1,39119767,0.84,88,17,105,600613
chr1,39119799,0.55,56,45,101,600614
chr1,39120011,0.87,78,12,90,600615
chr1,39120140,0.91,82,8,90,600616
chr1,39120438,0.92,86,7,93,600617
chr1,39120606,0.86,75,12,87,600618
chr1,39120757,0.9,55,6,61,600619
chr1,39120956,0.27,18,49,67,600620
chr1,39120974,0.85,41,7,48,600621
chr1,39120980,0.93,50,4,54,600622
chr1,39120982,0.75,40,13,53,600623
chr1,39120997,0.55,28,23,51,600624
chr1,39121110,0.59,35,24,59,600625
chr1,39121147,0.56,34,27,61,600626
chr1,39121167,0.81,50,12,62,600627
chr1,39121218,0.45,30,37,67,600628
chr1,39121488,0.82,54,12,66,600629
chr1,39121497,0.82,56,12,68,600630
chr1,39121573,0.52,46,42,88,600631
chr1,39121596,0.68,60,28,88,600632
chr1,39121672,0.55,47,39,86,600633
chr1,39121681,0.4,33,50,83,600634
chr1,39121701,0.26,19,53,72,600635
chr1,39121722,0.46,21,25,46,600636
chr1,39121991,0.89,114,14,128,600637
chr1,39122147,0.87,75,11,86,600638
chr1,39122195,0.9,62,7,69,600639
chr1,39122241,1,56,0,56,600640
chr1,39122267,0.97,58,2,60,600641
chr1,39122280,0.83,52,11,63,600642
chr1,39122406,0.7,91,39,130,600643
chr1,39122548,0.28,21,53,74,600644
chr1,39122595,0.78,43,12,55,600645
chr1,39122772,0.33,15,30,45,600646
chr1,39122884,0.65,51,27,78,600647
chr1,39123075,0.31,34,75,109,600648
chr1,39123440,0.64,74,41,115,600649
chr1,39123474,0.91,100,10,110,600650
chr1,39123667,0.93,84,6,90,600651
chr1,39123692,0.86,85,14,99,600652
chr1,39124127,0.73,53,20,73,600653
chr1,39124843,0.6,50,34,84,600654
chr1,39124993,0.83,50,10,60,600655
chr1,39125082,0.91,64,6,70,600656
chr1,39125236,0.89,70,9,79,600657
chr1,39125413,0.93,68,5,73,600658
chr1,39125471,0.94,60,4,64,600659
chr1,39125491,0.93,53,4,57,600660
chr1,39125531,0.79,44,12,56,600661
chr1,39125567,0.6,28,19,47,600662
chr1,39125653,0.97,30,1,31,600663
chr1,39125661,0.97,35,1,36,600664
chr1,39125669,0.92,36,3,39,600665
chr1,39125953,0.83,34,7,41,600666
